data,ur_noite,t_noite,kg_sorvidos,litros
2024-01-01,76.6,25.45,1.6370646891555949,1.5060995140231475
2024-01-02,84.3,24.66,1.839212186530166,1.6920752116077529
2024-01-03,85.9,24.68,1.9205070783682838,1.739123670238628
2024-01-04,84.5,25.57,1.991826457123072,1.739123670238628
2024-01-05,74.0,26.7,1.7746050583458828,1.6326366536782122
2024-01-06,80.3,26.7,1.991826457123072,1.739123670238628
2024-01-07,71.9,27.25,1.7813379599592367,1.6388309231624978
2024-01-08,63.9,27.05,1.2994902816661578,1.1955310591328652
2024-01-09,63.4,26.8,1.2243301681753131,1.126383754721288
2024-01-10,71.7,26.04,1.5121688498700374,1.3911953418804346
2024-01-11,75.6,25.3,1.5552513324356272,1.4308312258407772
2024-01-12,63.8,26.339999999999996,1.1589434628925666,1.0662279858611612
2024-01-13,53.7,26.05,0.5819821717749144,0.5354235980329213
2024-01-14,55.7,27.49,0.9256238818875433,0.8515739713365399
2024-01-15,56.4,27.410000000000004,0.9509480696619542,0.8748722240889979
2024-01-16,52.4,28.830000000000002,0.9650008285336613,0.8878007622509685
2024-01-17,45.2,27.939999999999998,0.4002245895657271,0.3682066224004689
2024-01-18,52.6,28.0,0.8358028844648531,0.7689386537076649
2024-01-19,53.3,28.919999999999998,1.0352108914010063,0.9523940200889258
2024-01-20,49.3,29.79,0.9375400708183556,0.8625368651528872
2024-01-21,69.8,26.71,1.5511437845583023,1.4270522817936382
2024-01-22,75.3,26.389999999999997,1.775311663923049,1.6332867308092052
2024-01-23,77.1,26.160000000000004,1.8185006600067468,1.673020607206207
2024-01-24,89.4,24.490000000000002,1.991826457123072,1.739123670238628
2024-01-25,89.3,23.830000000000002,1.8824274554715779,1.7318332590338517
2024-01-26,89.2,24.0,1.9173750743521631,1.7391236702386281
2024-01-27,92.2,23.98,1.991826457123072,1.739123670238628
2024-01-28,89.6,24.330000000000002,1.991826457123072,1.739123670238628
2024-01-29,82.9,24.619999999999997,1.7631906246268882,1.6221353746567373
2024-01-30,79.0,24.669999999999998,1.5874464283748462,1.4604507141048586
2024-01-31,71.6,24.54,1.207653551627657,1.1110412674974444
2024-02-01,65.7,24.14,0.8569896152454517,0.7884304460258156
2024-02-02,71.3,24.7,1.2241507097684474,1.1262186529869718
2024-02-03,72.4,24.72,1.280889235133206,1.1784180963225495
2024-02-04,68.0,24.58,1.043671870862994,0.9601781211939545
2024-02-05,73.7,25.630000000000003,1.5292429091532027,1.4069034764209465
2024-02-06,67.8,25.839999999999996,1.2712997936846016,1.1695958101898334
2024-02-07,65.5,26.080000000000002,1.1988142024739836,1.102909066276065
2024-02-08,69.7,26.49,1.5002563818429955,1.3802358712955558
2024-02-09,81.2,25.29,1.8310997542627931,1.6846117739217699
2024-02-10,86.3,23.72,1.720734706216659,1.5830759297193262
2024-02-11,87.7,23.47,1.72807875862767,1.5898324579374565
2024-02-12,81.5,24.25,1.6156630956046012,1.4864100479562332
2024-02-13,77.5,24.919999999999998,1.5682563826079725,1.4427958719993348
2024-02-14,73.9,25.580000000000002,1.5289062195081566,1.4065937219475042
2024-02-15,74.4,26.02,1.647632269687544,1.5158216881125406
2024-02-16,78.1,25.669999999999998,1.7606982764522257,1.6198424143360477
2024-02-17,79.6,25.44,1.7850774004932652,1.642271208453804
2024-02-18,87.0,24.67,1.9709100507345985,1.739123670238628
2024-02-19,86.0,25.47,1.991826457123072,1.739123670238628
2024-02-20,87.4,24.54,1.9594578005951802,1.7391236702386281
2024-02-21,91.3,23.47,1.889292078625382,1.7381487123353514
2024-02-22,90.7,23.1,1.7776312197468027,1.6354207221670585
2024-02-23,90.2,23.119999999999997,1.7602267868696224,1.6194086439200528
2024-02-24,84.7,23.59,1.619726487059126,1.4901483680943959
2024-02-25,79.3,23.64,1.3864314300065463,1.2755169156060226
2024-02-26,80.1,23.880000000000003,1.4723246043000324,1.3545386359560299
2024-02-27,81.9,24.07,1.5955044415811792,1.467864086254685
2024-02-28,84.6,23.580000000000002,1.613048341820421,1.4840044744747873
2024-02-29,86.6,23.93,1.7815468766650702,1.6390231265318647
2024-03-01,89.2,24.369999999999997,1.991826457123072,1.739123670238628
2024-03-02,87.3,25.1,1.991826457123072,1.739123670238628
2024-03-03,87.4,24.82,1.991826457123072,1.739123670238628
2024-03-04,88.3,23.619999999999997,1.7888437858666153,1.6457362829972861
2024-03-05,86.8,23.6,1.716638840572901,1.5793077333270689
2024-03-06,79.1,24.8,1.620132808659926,1.490522183967132
2024-03-07,76.7,24.91,1.5272671128741975,1.4050857438442617
2024-03-08,76.1,25.04,1.5252658524704552,1.403244584272819
2024-03-09,73.0,25.130000000000003,1.3916712879050042,1.280337584872604
2024-03-10,71.3,25.11,1.3041058086800141,1.199777343985613
2024-03-11,75.8,25.910000000000004,1.6960148601104748,1.560333671301637
2024-03-12,77.4,25.82,1.758278259252711,1.6176159985124943
2024-03-13,74.7,25.889999999999997,1.635199398001966,1.5043834461618086
2024-03-14,85.1,25.0,1.956385868455871,1.7391236702386281
2024-03-15,82.5,25.15,1.8635484875141997,1.7144646085130637
2024-03-16,77.1,24.79,1.5214641590413551,1.3997470263180467
2024-03-17,67.3,25.79,1.2360876820559095,1.1372006674914368
2024-03-18,76.8,26.24,1.8207571172803252,1.6750965478978992
2024-03-19,75.5,26.68,1.8506549887317811,1.7026025896332386
2024-03-20,76.2,26.85,1.9269588075194917,1.7391236702386281
2024-03-21,72.3,26.77,1.6984330676331594,1.5625584222225066
2024-03-22,69.0,26.76,1.5184659144907238,1.3969886413314658
2024-03-23,64.6,26.47,1.2257473951010325,1.12768760349295
2024-03-24,48.9,26.610000000000003,0.41361660289279695,0.3805272746613732
2024-03-25,58.2,26.01,0.8083235721821174,0.743657686407548
2024-03-26,70.9,26.28,1.520209471872568,1.3985927141227628
2024-03-27,76.5,25.610000000000003,1.666563383605798,1.5332383129173341
2024-03-28,72.8,26.339999999999996,1.6326707786900956,1.502057116394888
2024-03-29,68.2,26.93,1.5101810830661713,1.3893665964208777
2024-03-30,65.8,26.189999999999998,1.2353873225473524,1.1365563367435643
2024-03-31,79.2,25.82,1.8503139592917903,1.7022888425484473
2024-04-01,84.5,25.22,1.9784400170341891,1.739123670238628
2024-04-02,88.5,24.28,1.9503635387857177,1.739123670238628
2024-04-03,91.2,24.25,1.991826457123072,1.739123670238628
2024-04-04,90.8,23.71,1.9227943064544553,1.7391236702386277
2024-04-05,86.4,23.8,1.7431536874139277,1.6037013924208137
2024-04-06,82.2,24.330000000000002,1.665884072202269,1.5326133464260876
2024-04-07,85.1,24.240000000000002,1.7819210344202185,1.6393673516666012
2024-04-08,84.8,24.14,1.7454874438840686,1.6058484483733433
2024-04-09,84.7,24.630000000000003,1.8515121267780574,1.7033911566358129
2024-04-10,82.8,25.17,1.8829080044865814,1.732275364127655
2024-04-11,81.6,25.22,1.8350634384254376,1.6882583633514028
2024-04-12,80.4,25.3,1.7936328038555218,1.65014217954708
2024-04-13,79.3,24.990000000000002,1.6709791690997537,1.5373008355717734
2024-04-14,75.5,25.06,1.5000594940984286,1.3800547345705545
2024-04-15,75.1,25.44,1.5598323741974818,1.4350457842616833
2024-04-16,85.8,24.25,1.816941080065202,1.6715857936599858
2024-04-17,86.6,24.27,1.8589786895284905,1.7102603943662114
2024-04-18,84.7,24.44,1.8082822996279733,1.6636197156577355
2024-04-19,81.0,24.59,1.6658247021222425,1.5325587259524631
2024-04-20,82.3,24.1,1.6205262234073463,1.4908841255347587
2024-04-21,82.3,23.72,1.5390433250512194,1.415919859047122
2024-04-22,85.1,24.05,1.7393063797104589,1.6001618693336221
2024-04-23,82.0,24.64,1.724598377681271,1.5866305074667695
2024-04-24,78.1,25.060000000000002,1.6274531692635668,1.4972569157224815
2024-04-25,80.9,25.0,1.7512895184475168,1.6111863569717155
2024-04-26,83.8,24.5,1.7791629267156148,1.6368298925783658
2024-04-27,82.3,24.48,1.7035382983639247,1.5672552344948107
2024-04-28,79.5,24.32,1.5368130968939882,1.413868049142469
2024-04-29,74.6,24.46,1.3343970256653959,1.2276452636121642
2024-04-30,76.8,24.55,1.4571468382649624,1.3405750912037655
2024-05-01,76.7,24.740000000000002,1.491743017555387,1.372403576150956
2024-05-02,77.9,24.6,1.5200005393962754,1.3984004962445735
2024-05-03,82.6,24.44,1.7089218250315517,1.5722080790290276
2024-05-04,79.2,23.990000000000002,1.453797150473879,1.3374933784359686
2024-05-05,76.2,24.19,1.3554821795385217,1.24704360517544
2024-05-06,75.3,23.869999999999997,1.2503462233407219,1.1503185254734642
2024-05-07,80.9,23.39,1.407095228305043,1.2945276100406398
2024-05-08,80.6,24.15,1.5522352272592175,1.4280564090784802
2024-05-09,81.5,23.85,1.530140845869986,1.4077295782003874
2024-05-10,78.1,23.79,1.3624033576234986,1.2534110890136188
2024-05-11,83.2,23.91,1.6209191163310106,1.4912455870245298
2024-05-12,79.7,24.31,1.5440939399787046,1.4205664247804082
2024-05-13,76.5,25.3,1.5999478583268578,1.4719520296607091
2024-05-14,71.8,26.110000000000003,1.5318918681821168,1.4093405187275474
2024-05-15,69.9,24.95,1.204540809391862,1.108177544640513
2024-05-16,70.7,23.41,0.9559935889674809,0.8795141018500825
2024-05-17,77.1,23.66,1.2909212173697098,1.187647519980133
2024-05-18,78.1,24.169999999999998,1.439993592033304,1.3247941046706397
2024-05-19,79.3,24.020000000000003,1.4646368012225488,1.3474658571247449
2024-05-20,76.5,23.380000000000003,1.2090100608226289,1.1122892559568185
2024-05-21,76.8,23.35,1.216531489123821,1.1192089699939154
2024-05-22,78.9,23.84,1.4091170584728165,1.2963876937949912
2024-05-23,80.7,23.03,1.325046151451838,1.219042459335691
2024-05-24,73.5,22.86,0.979565085882456,0.9011998790118596
2024-05-25,78.6,23.03,1.2333356646222582,1.1346688114524777
2024-05-26,69.9,23.97,1.0211851618674437,0.9394903489180483
